comm_code,name,RE_ASSESSED_VALUE,PROPERTY_TAX,Population,Area (m^2),pop_dens (per m^2
WHL,WEST HILLHURST,2610933671,10105879.87,6635,2358648,0.002813052
SCA,SCARBORO,449760500,1740842.991,1010,455432,0.002217675
SNA,SUNALTA,802008329,3104253.438,3090,937646,0.003295487
SHG,SHAGANAPPI,609423750,2358835.567,1765,1480976,0.001191782
PAN,PANORAMA HILLS,5302215800,20522756.48,25535,6334712,0.004030965
MCT,MCKENZIE TOWNE,3864970000,14959752.88,17505,4823933,0.003628782
CGR,COUGAR RIDGE,1821843840,7051628.767,7150,2262395,0.003160368
CHA,CHAPARRAL,3019901500,11688830.75,12500,5446554,0.002295029
COV,COVENTRY HILLS,3052728000,11815889,17350,4083755,0.004248541
TAR,TARADALE,2492376000,9646990.546,17630,2843883,0.006199271
NEB,NEW BRIGHTON,2696761500,10438085.06,12885,2846404,0.004526764
SHW,SHERWOOD,1427500500,5525283.435,6520,2393330,0.002724238
ROC,ROCKY RIDGE,2433870700,9420539.931,8195,2807976,0.002918472
BRI,BRIDLEWOOD,2270922500,8789832.628,12545,3140953,0.003994011
TUS,TUSCANY,5050826500,19549729.05,19700,6798647,0.002897635
ROY,ROYAL OAK,2926604000,11327713.44,11580,3561967,0.003251013
EVE,EVERGREEN,5075081000,19643608.52,20780,4905440,0.004236113
CHV,COUNTRY HILLS VILLAGE,514778500,1992501.662,2480,952021,0.002604985
SSW,SCARBORO/SUNALTA WEST,200799781,777215.6323,465,354373,0.001312177
WAL,WALDEN,2229549715,8629695.127,7650,2459852,0.003109943
